source,stat_id,period,region,region_full,item,value,unit
rone,A_2024_00178,202407,도심권,서울>도심권,지수,173.97922578639,지수
rone,A_2024_00178,202407,전국,전국,지수,124.517980164712,지수
rone,A_2024_00178,202407,수도권,수도권,지수,146.145765423347,지수
rone,A_2024_00178,202407,동북권,서울>동북권,지수,169.107433116385,지수
rone,A_2024_00178,202407,지방,지방,지수,106.548038425311,지수
rone,A_2024_00178,202407,동남권,서울>동남권,지수,170.491135032937,지수
rone,A_2024_00178,202407,서북권,서울>서북권,지수,163.756628464686,지수
rone,A_2024_00178,202407,서울,서울,지수,167.917948904252,지수
rone,A_2024_00178,202407,부산,부산,지수,104.041641713156,지수
rone,A_2024_00178,202407,서남권,서울>서남권,지수,166.062268420532,지수
rone,A_2024_00178,202407,대구,대구,지수,99.4870914068359,지수
rone,A_2024_00178,202407,인천,인천,지수,123.687558919409,지수
rone,A_2024_00178,202407,광주,광주,지수,122.900879765914,지수
rone,A_2024_00178,202407,대전,대전,지수,141.326171145634,지수
rone,A_2024_00178,202407,울산,울산,지수,99.5517304456507,지수
rone,A_2024_00178,202407,세종,세종,지수,129.230895632817,지수
rone,A_2024_00178,202407,경기,경기,지수,140.078146357417,지수
rone,A_2024_00178,202407,강원,강원,지수,110.884553337387,지수
rone,A_2024_00178,202407,충북,충북,지수,109.418224975253,지수
rone,A_2024_00178,202407,충남,충남,지수,105.143851029382,지수
rone,A_2024_00178,202407,전북,전북,지수,108.844877052383,지수
rone,A_2024_00178,202407,전남,전남,지수,106.522541586535,지수
rone,A_2024_00178,202407,경북,경북,지수,99.6262584991652,지수
rone,A_2024_00178,202407,경남,경남,지수,95.8383281788933,지수
rone,A_2024_00178,202407,제주,제주,지수,109.692746764624,지수
rone,A_2024_00178,202407,6대광역시,6대광역시,지수,112.373804117402,지수
rone,A_2024_00178,202407,5대광역시,5대광역시,지수,109.732168927505,지수
rone,A_2024_00178,202407,8개도,8개도,지수,104.02227868709,지수
rone,A_2024_00178,202408,도심권,서울>도심권,지수,178.133397110271,지수
rone,A_2024_00178,202408,전국,전국,지수,125.28933232026,지수
rone,A_2024_00178,202408,수도권,수도권,지수,147.843040722982,지수
rone,A_2024_00178,202408,동북권,서울>동북권,지수,171.3440676007,지수
rone,A_2024_00178,202408,지방,지방,지수,106.54428337784,지수
rone,A_2024_00178,202408,동남권,서울>동남권,지수,174.199084222049,지수
rone,A_2024_00178,202408,서북권,서울>서북권,지수,166.698948802708,지수
rone,A_2024_00178,202408,서울,서울,지수,170.631697086207,지수
rone,A_2024_00178,202408,부산,부산,지수,104.284566109638,지수
rone,A_2024_00178,202408,서남권,서울>서남권,지수,168.069800089169,지수
rone,A_2024_00178,202408,대구,대구,지수,98.9602642405477,지수
rone,A_2024_00178,202408,인천,인천,지수,124.400908033131,지수
rone,A_2024_00178,202408,광주,광주,지수,123.10083787775,지수
rone,A_2024_00178,202408,대전,대전,지수,141.230113140842,지수
rone,A_2024_00178,202408,울산,울산,지수,99.7679488341133,지수
rone,A_2024_00178,202408,세종,세종,지수,129.837668597079,지수
rone,A_2024_00178,202408,경기,경기,지수,141.456297057318,지수
rone,A_2024_00178,202408,강원,강원,지수,111.190827489053,지수
rone,A_2024_00178,202408,충북,충북,지수,109.302137357706,지수
rone,A_2024_00178,202408,충남,충남,지수,104.717883106997,지수
rone,A_2024_00178,202408,전북,전북,지수,109.890377577726,지수
rone,A_2024_00178,202408,전남,전남,지수,106.153332643537,지수
rone,A_2024_00178,202408,경북,경북,지수,99.7623711437803,지수
rone,A_2024_00178,202408,경남,경남,지수,95.3350594223964,지수
rone,A_2024_00178,202408,제주,제주,지수,109.406363296209,지수
rone,A_2024_00178,202408,6대광역시,6대광역시,지수,112.538924648545,지수
rone,A_2024_00178,202408,5대광역시,5대광역시,지수,109.76393634058,지수
rone,A_2024_00178,202408,8개도,8개도,지수,103.986391702536,지수
rone,A_2024_00178,202409,도심권,서울>도심권,지수,178.275578694161,지수
rone,A_2024_00178,202409,전국,전국,지수,125.544361434528,지수
rone,A_2024_00178,202409,수도권,수도권,지수,148.101359488995,지수
rone,A_2024_00178,202409,동북권,서울>동북권,지수,171.169331120718,지수
rone,A_2024_00178,202409,지방,지방,지수,106.804560558205,지수
rone,A_2024_00178,202409,동남권,서울>동남권,지수,175.93400002037,지수
rone,A_2024_00178,202409,서북권,서울>서북권,지수,166.526451199993,지수
rone,A_2024_00178,202409,서울,서울,지수,171.212302357557,지수
rone,A_2024_00178,202409,부산,부산,지수,104.17232581586,지수
rone,A_2024_00178,202409,서남권,서울>서남권,지수,168.856650953959,지수
rone,A_2024_00178,202409,대구,대구,지수,99.2138550634093,지수
rone,A_2024_00178,202409,인천,인천,지수,124.312675033752,지수
rone,A_2024_00178,202409,광주,광주,지수,123.583201930062,지수
rone,A_2024_00178,202409,대전,대전,지수,141.197826170197,지수
rone,A_2024_00178,202409,울산,울산,지수,100.16797935772,지수
rone,A_2024_00178,202409,세종,세종,지수,129.255921587546,지수
rone,A_2024_00178,202409,경기,경기,지수,141.634101898691,지수
rone,A_2024_00178,202409,강원,강원,지수,111.494177601043,지수
rone,A_2024_00178,202409,충북,충북,지수,109.693468345769,지수
rone,A_2024_00178,202409,충남,충남,지수,105.21940946825,지수
rone,A_2024_00178,202409,전북,전북,지수,110.812329744517,지수
rone,A_2024_00178,202409,전남,전남,지수,105.770227920286,지수
rone,A_2024_00178,202409,경북,경북,지수,100.47610144182,지수
rone,A_2024_00178,202409,경남,경남,지수,95.5464303767993,지수
rone,A_2024_00178,202409,제주,제주,지수,109.849600041735,지수
rone,A_2024_00178,202409,6대광역시,6대광역시,지수,112.635098938412,지수
rone,A_2024_00178,202409,5대광역시,5대광역시,지수,109.904754892732,지수
rone,A_2024_00178,202409,8개도,8개도,지수,104.375554231252,지수
rone,A_2024_00178,202410,도심권,서울>도심권,지수,178.032643412989,지수
rone,A_2024_00178,202410,전국,전국,지수,125.46698244784,지수
rone,A_2024_00178,202410,수도권,수도권,지수,148.035840064833,지수
rone,A_2024_00178,202410,동북권,서울>동북권,지수,171.187954176228,지수
rone,A_2024_00178,202410,지방,지방,지수,106.731277959464,지수
rone,A_2024_00178,202410,동남권,서울>동남권,지수,176.188869132128,지수
rone,A_2024_00178,202410,서북권,서울>서북권,지수,166.781973122462,지수
rone,A_2024_00178,202410,서울,서울,지수,171.144229509056,지수
rone,A_2024_00178,202410,부산,부산,지수,104.063073085868,지수
rone,A_2024_00178,202410,서남권,서울>서남권,지수,168.235134463539,지수
rone,A_2024_00178,202410,대구,대구,지수,98.9699462784451,지수
rone,A_2024_00178,202410,인천,인천,지수,124.261255294413,지수
rone,A_2024_00178,202410,광주,광주,지수,122.809011595651,지수
rone,A_2024_00178,202410,대전,대전,지수,142.026523064231,지수
rone,A_2024_00178,202410,울산,울산,지수,100.984089066574,지수
rone,A_2024_00178,202410,세종,세종,지수,128.939911246871,지수
rone,A_2024_00178,202410,경기,경기,지수,141.581546450069,지수
rone,A_2024_00178,202410,강원,강원,지수,111.172103273472,지수
rone,A_2024_00178,202410,충북,충북,지수,109.44467224708,지수
rone,A_2024_00178,202410,충남,충남,지수,105.450728471438,지수
rone,A_2024_00178,202410,전북,전북,지수,110.556056075456,지수
rone,A_2024_00178,202410,전남,전남,지수,106.262390127507,지수
rone,A_2024_00178,202410,경북,경북,지수,99.7205937355203,지수
rone,A_2024_00178,202410,경남,경남,지수,95.4088143495896,지수
rone,A_2024_00178,202410,제주,제주,지수,111.407141968496,지수
rone,A_2024_00178,202410,6대광역시,6대광역시,지수,112.609855486315,지수
rone,A_2024_00178,202410,5대광역시,5대광역시,지수,109.885832012989,지수
rone,A_2024_00178,202410,8개도,8개도,지수,104.264458763234,지수
rone,A_2024_00178,202411,도심권,서울>도심권,지수,176.937671689876,지수
rone,A_2024_00178,202411,전국,전국,지수,124.863006322806,지수
rone,A_2024_00178,202411,수도권,수도권,지수,147.425616791745,지수
