source,apt_name,area,floor,price,deal_date,built_year,dong
molit,주공그린빌11,75.99,4,40000,2024-10-22,2003,초지동
molit,벽산블루밍,59.95,4,35000,2024-10-14,2004,원곡동
molit,보네르빌리지,116.843,25,56000,2024-10-02,2001,고잔동
molit,안산아이파크,84.42,3,45500,2024-10-19,2013,신길동
molit,푸르지오3차,84.96,4,70400,2024-10-15,2003,고잔동
molit,벽산블루밍,59.95,5,34500,2024-10-31,2004,원곡동
molit,e편한세상초지역센트럴포레,59.974,23,60000,2024-10-20,2021,원곡동
molit,휴먼빌2차,84.704,15,47000,2024-10-18,2007,신길동
molit,안산라프리모,99.4568,7,78000,2024-10-31,2020,선부동
molit,천년가리더스카이,59.4462,6,33800,2024-10-31,2020,와동
molit,공작한양(고층),28.215,10,13050,2024-10-27,1992,선부동
molit,그린빌15(해맑음마을),59.97,2,31500,2024-10-29,2002,초지동
molit,양지마을,84.838,5,53500,2024-10-28,2001,고잔동
molit,힐스테이트중앙,84.9761,32,88000,2024-10-18,2018,고잔동
molit,주공8,66.56,7,29000,2024-10-30,1987,고잔동
molit,벽산블루밍,59.95,5,34500,2024-10-31,2004,원곡동
molit,안산아이파크,72.57,11,43000,2024-10-31,2013,신길동
molit,안산아이파크,84.09,2,43000,2024-10-30,2013,신길동
molit,수정한양,155.155,9,48500,2024-10-29,1991,선부동
molit,주공그린빌13단지,51.75,7,28500,2024-10-11,2002,초지동
molit,서해그랑블,100.994,13,46500,2024-10-19,2004,초지동
molit,경남아너스빌,84.99,5,43000,2024-10-28,2005,원곡동
molit,서해그랑블,71.939,8,38200,2024-10-18,2004,초지동
molit,군자주공12,38.64,8,20000,2024-10-24,1991,선부동
molit,휴먼시아4단지,84.98,5,40000,2024-10-27,2012,신길동
molit,주공5,46.74,5,49600,2024-10-31,1986,고잔동
molit,휴먼시아6단지,84.91,13,37000,2024-10-30,2009,신길동
molit,휴먼빌2차,119.225,18,52000,2024-10-27,2007,신길동
molit,푸르지오3차,84.96,4,70400,2024-10-15,2003,고잔동
molit,벽산블루밍,59.95,4,35000,2024-10-14,2004,원곡동
molit,벽산블루밍,84.99,8,41700,2024-10-14,2004,원곡동
molit,군자주공14,40.0,2,20000,2024-10-12,1992,선부동
molit,휴먼빌2차,84.704,3,41900,2024-10-25,2007,신길동
molit,안산8차푸르지오,84.9897,18,46000,2024-10-26,2006,원곡동
molit,이편한세상선부역어반스퀘어,59.96,18,50000,2024-10-30,2020,선부동
molit,푸르지오1차,84.7828,9,58000,2024-10-24,2001,고잔동
molit,주공(9단지),61.52,10,32000,2024-10-22,1986,고잔동
molit,초지역메이저타운푸르지오메트로단지,59.9333,27,66800,2024-10-10,2019,초지동
molit,서해그랑블,71.939,9,40000,2024-10-21,2004,초지동
molit,군자주공14,46.99,1,25500,2024-10-28,1992,선부동
molit,힐스테이트중앙,74.993,31,78000,2024-10-30,2018,고잔동
molit,수정한양,69.895,5,32000,2024-10-23,1991,선부동
molit,호수공원(대림1),99.541,11,71800,2024-10-21,2001,고잔동
molit,초지역메이저타운푸르지오파크단지,59.9333,30,62000,2024-10-28,2019,초지동
molit,주공(9단지),66.56,4,37000,2024-10-26,1986,고잔동
molit,군자주공14,40.0,3,20300,2024-10-29,1992,선부동
molit,경남아너스빌,84.99,22,47500,2024-10-22,2005,원곡동
molit,산호한양,29.2725,16,14000,2024-10-29,1993,선부동
molit,경남아너스빌,59.99,15,38900,2024-10-22,2005,원곡동
molit,초지역메이저타운푸르지오파크단지,72.7925,7,68900,2024-10-26,2019,초지동
molit,주공그린빌12,75.99,8,46000,2024-10-18,2003,초지동
molit,군자주공14,40.0,3,14000,2024-10-29,1992,선부동
molit,안산메트로타운푸르지오힐스테이트,59.8167,35,41400,2024-10-25,2018,선부동
molit,천년가리더스카이,74.9807,24,40000,2024-10-23,2020,와동
molit,보네르빌리지,89.081,9,50500,2024-10-13,2001,고잔동
molit,군자주공9,39.27,3,27500,2024-10-25,1989,선부동
molit,안산메트로타운푸르지오힐스테이트,59.8167,35,41400,2024-10-25,2018,선부동
molit,산호한양,42.615,1,16250,2024-10-29,1993,선부동
molit,이편한세상선부역어반스퀘어,74.95,27,60200,2024-10-12,2020,선부동
molit,그린빌15(해맑음마을),59.97,5,35000,2024-10-11,2002,초지동
molit,공작한양(고층),42.615,12,18100,2024-10-28,1992,선부동
molit,산호한양,42.615,19,20800,2024-10-24,1993,선부동
molit,힐스테이트중앙,59.9929,18,68500,2024-10-18,2018,고잔동
molit,주공그린빌13단지,51.89,6,28800,2024-10-09,2002,초지동
molit,주공그린빌13단지,51.89,8,29000,2024-10-11,2002,초지동
molit,군자주공9,46.98,5,30000,2024-10-14,1989,선부동
molit,삼익,59.59,8,24500,2024-10-31,1998,신길동
molit,서해그랑블,84.962,7,43500,2024-10-09,2004,초지동
molit,휴먼시아4단지,84.98,3,39000,2024-10-30,2012,신길동
molit,산호한양,42.615,4,18000,2024-10-30,1993,선부동
molit,주공그린빌9,75.82,13,50800,2024-10-09,2001,고잔동
