id,transaction_date,price,area_exclusive,floor,dong,buyer_type,_apt_name,_built_year,_total_floors,_total_units,_brand,_brand_tier,_sido,_sigungu
64c555a7-8d29-48c2-be57-4fdd4d55c79c,2025-12-07,466441316,102.0,34,부산동,일반,부산 아이파크,2007,34,1184,아이파크,3,서울시,부산
52e95e87-ca2e-4003-9cf0-9a4c43c2ce8a,2026-01-02,305894060,74.0,21,대구동,일반,대구 현대,2020,35,1535,현대,2,서울시,대구
c2ef234f-41ff-48f9-ba4b-7bcd6c034940,2026-02-24,178201161,74.0,18,충북동,일반,충북 자이,2005,27,1341,자이,4,서울시,충북
53894832-0054-470a-9964-40a020ce49a7,2025-04-04,543213454,59.0,16,수도권동,일반,수도권 e편한세상,2007,22,1861,e편한세상,2,서울시,수도권
b6d5b5af-034f-4af5-b7c8-4ad1c13f59f2,2025-12-19,1498443627,74.0,34,강남11개구동,일반,강남11개구 e편한세상,2013,35,308,e편한세상,2,서울시,강남11개구
3ddd22cf-c38c-4fcf-b68b-a8990f02ac07,2025-11-26,372464890,84.0,15,부산동,법인,부산 롯데캐슬,2001,15,1972,롯데캐슬,3,서울시,부산
50d8f776-eb89-4135-a8a1-3317a96f5b2b,2024-11-06,936343410,114.0,6,수도권동,일반,수도권 롯데캐슬,2008,18,1910,롯데캐슬,3,서울시,수도권
0b35f8ed-9bc7-44ad-95c6-bee5ace3e32f,2025-06-10,315977198,74.0,2,대구동,일반,대구 롯데캐슬,2022,15,521,롯데캐슬,3,서울시,대구
04ff36d2-8361-4b30-b4d3-b68297f765d7,2025-10-23,295824843,102.0,27,경남동,일반,경남 래미안,2005,33,562,래미안,4,서울시,경남
81773312-3431-4eb1-981f-5c95936eb605,2024-12-27,647438527,102.0,12,세종동,일반,세종 현대,2020,21,482,현대,2,서울시,세종
4f2616d2-6ec9-41a5-b31a-37a34bc38bfe,2026-01-07,436525568,102.0,21,부산동,일반,부산 푸르지오,2005,30,1085,푸르지오,3,서울시,부산
cc9ec209-7a8b-4e00-a73e-a52dd8435054,2025-01-26,277208619,84.0,13,광주동,법인,광주 롯데캐슬,2016,33,712,롯데캐슬,3,서울시,광주
eb87c294-f062-49e0-9532-ad7711c37adc,2024-04-19,366562351,135.0,17,전북동,일반,전북 래미안,2017,28,438,래미안,4,서울시,전북
9c132c3f-04dc-4fd3-868b-950584ab1a35,2026-01-01,448717704,84.0,23,부산동,법인,부산 롯데캐슬,2023,33,1249,롯데캐슬,3,서울시,부산
1d8381ab-1f86-4476-a57c-a9210e61c221,2024-04-13,634858835,102.0,18,경기동,법인,경기 현대,2014,27,808,현대,2,서울시,경기
ec9e075f-26a7-461b-b79a-1e7af5d07078,2026-02-09,195531718,74.0,19,전남동,법인,전남 아이파크,2023,33,824,아이파크,3,서울시,전남
ab6279cf-d922-41b3-91eb-16e893e3b793,2025-09-06,327149461,135.0,7,충북동,법인,충북 현대,2011,26,670,현대,2,서울시,충북
3c7d0aa5-e368-4d62-aa1c-21ab7f2466a0,2024-12-22,615550165,135.0,20,5개광역시동,일반,5개광역시 현대,2023,26,503,현대,2,서울시,5개광역시
7b756c8c-83b6-4cf0-9b83-277987ede2f3,2026-02-08,474212767,135.0,2,광주동,일반,광주 현대,2020,21,731,현대,2,서울시,광주
4961bc56-d488-48bb-9ce9-b4a6da1eca5a,2025-05-08,170560127,84.0,5,경북동,법인,경북 힐스테이트,2012,30,1954,힐스테이트,3,서울시,경북
270de199-171d-4087-8a5a-dd5d2202a5b8,2026-01-04,230185861,102.0,8,전북동,일반,전북 아이파크,2012,25,1817,아이파크,3,서울시,전북
4902a438-8821-44e9-9e75-6f537aef2435,2026-01-27,631558672,135.0,8,5개광역시동,일반,5개광역시 자이,2017,15,747,자이,4,서울시,5개광역시
fa2ea8a6-5f05-4eb3-a5c1-9f3974c3504c,2026-01-04,458519749,74.0,3,전국동,법인,전국 래미안,2008,35,640,래미안,4,서울시,전국
2a616661-bf6e-4ae1-81d7-cd73157afbed,2026-02-10,155413265,74.0,14,전남동,일반,전남 롯데캐슬,2007,16,526,롯데캐슬,3,서울시,전남
99ed4c1e-5cfa-4ba2-8125-8adadc858b26,2025-09-23,286652405,74.0,16,울산동,일반,울산 롯데캐슬,2022,18,1935,롯데캐슬,3,서울시,울산
26b7d767-7945-4e28-b2a1-7389879bf576,2026-02-14,939073690,135.0,26,세종동,일반,세종 롯데캐슬,2023,35,350,롯데캐슬,3,서울시,세종
76978482-29d9-46f4-a8f8-400aac001fc5,2025-08-03,361529943,102.0,7,대구동,법인,대구 힐스테이트,2010,31,1388,힐스테이트,3,서울시,대구
ef29ccdb-98b4-4c9c-9661-ad8547c26146,2024-11-24,263072051,102.0,10,기타지방동,일반,기타지방 현대,2006,23,831,현대,2,서울시,기타지방
4f5e85be-f815-4df2-a95f-c382267a5c77,2026-02-13,377264331,74.0,6,세종동,법인,세종 기타,2001,22,710,기타,1,서울시,세종
de3b0378-c27c-47b6-8b70-2394b4d30ae3,2024-11-20,613133169,135.0,13,대구동,일반,대구 래미안,2012,27,1921,래미안,4,서울시,대구
75e420c6-36dc-42f1-80b6-f52ee266aec3,2025-09-21,204587730,74.0,22,기타지방동,일반,기타지방 e편한세상,2021,26,1594,e편한세상,2,서울시,기타지방
c23d6fab-e322-4200-99fd-eb21671185ce,2026-01-12,373319006,135.0,16,경남동,일반,경남 기타,2007,26,811,기타,1,서울시,경남
b14aa9c9-d99f-4a51-9ab7-31125e09d1b3,2026-02-08,297427141,102.0,25,충북동,일반,충북 푸르지오,2012,32,563,푸르지오,3,서울시,충북
392b4f5a-495a-49fe-ae7b-9a053c62a7c4,2024-03-27,587422576,135.0,3,6개광역시동,일반,6개광역시 아이파크,2020,18,1297,아이파크,3,서울시,6개광역시
