id,transaction_date,price,area_exclusive,floor,dong,buyer_type,_apt_name,_built_year,_total_floors,_total_units,_brand,_brand_tier,_sido,_sigungu
e6112532-e279-4ef9-b942-72dc633a3169,2025-04-19,1674568931,84.0,7,마포구동,일반,마포래미안푸르지오,2014,26,3885,래미안,4,서울시,마포구
18e92758-d78e-4e02-b8cf-3c336f92f8fa,2024-02-19,1299362619,59.0,13,송파구동,법인,파크리오,2008,33,6864,현대,3,서울시,송파구
6a2eda4f-2908-4c14-918e-fb74d343fd40,2025-10-08,2264378309,135.0,2,영등포구동,법인,영등포구아파트,2017,16,1073,기타,1,서울시,영등포구
4ba77c2a-87f8-4be2-af58-324eb2bf9798,2025-04-18,2515793596,84.0,25,송파구동,법인,헬리오시티,2018,29,9510,현대,3,서울시,송파구
753682b3-28a4-48d0-bcef-abc7c709c601,2025-05-11,3148963436,135.0,6,마포구동,일반,마포래미안푸르지오,2014,25,3885,래미안,4,서울시,마포구
0cdb0fa2-aee0-4cb5-8275-9bbeaea35b5c,2025-03-23,871106049,59.0,5,영등포구동,일반,영등포구아파트,2014,17,670,기타,1,서울시,영등포구
7ed2ba9b-4ad7-49fb-8df0-918c58e52005,2024-10-28,2060788961,59.0,16,서초구동,일반,아크로리버파크,2016,23,1612,대림,2,서울시,서초구
97069846-300c-4cfe-beed-f1e7d0b5859c,2025-01-23,968648788,74.0,15,강동구동,법인,강동구아파트,2008,16,582,기타,1,서울시,강동구
e86bc680-092f-4a62-8702-7c77dd153243,2025-05-11,1308361338,59.0,15,마포구동,일반,래미안마포리버웰,2016,15,908,래미안,4,서울시,마포구
d8d6bfa8-b2e0-4044-8533-c9aec526b838,2024-02-27,1351022719,84.0,13,영등포구동,법인,영등포구아파트,2020,19,934,기타,1,서울시,영등포구
e12322d6-a73e-4156-b64d-26993cf68cf5,2024-11-19,459262370,74.0,34,노원구동,법인,노원구아파트,1996,34,555,기타,1,서울시,노원구
2a701bef-bc59-413e-9481-b5a5851866cb,2025-12-23,6568489090,168.0,3,서초구동,일반,반포자이,2009,31,2444,자이,4,서울시,서초구
f2fafb1e-36f1-462e-b05b-e958270523b7,2025-11-09,2347515755,102.0,21,마포구동,일반,래미안마포리버웰,2016,32,908,래미안,4,서울시,마포구
37bde9d5-85b8-4722-986c-0d3bfee86ace,2024-11-09,2677824891,135.0,19,성동구동,일반,성동구아파트,1997,19,653,기타,1,서울시,성동구
60ef464d-b466-434d-a481-e5b99aaddae0,2025-11-05,4467790966,102.0,16,서초구동,법인,래미안서초에스티지,2020,25,1317,래미안,4,서울시,서초구
bbe129a0-34a7-43b0-a661-f5e0f05fe41e,2025-11-26,417864287,59.0,6,강서구동,일반,강서구아파트,1995,21,526,기타,1,서울시,강서구
40fc8710-1546-4139-b5e2-b8223ed5ef36,2024-09-29,476895409,59.0,30,강서구동,일반,강서구아파트,2003,32,399,기타,1,서울시,강서구
0b8865d1-ecc5-49e8-841e-bdf36769eea1,2025-11-08,1331321064,168.0,21,노원구동,법인,노원구아파트,1998,34,551,기타,1,서울시,노원구
c8b7e8c8-d4d6-494d-ab47-5283f69c425c,2024-11-12,456075340,59.0,9,노원구동,일반,노원구아파트,2016,21,1230,기타,1,서울시,노원구
aeef26ef-23b4-4a05-b382-56ceb61b9cf5,2024-05-27,715569109,114.0,3,노원구동,일반,노원구아파트,1997,16,562,기타,1,서울시,노원구
02dbfc4d-7d3f-4197-b0a6-78d2f6515110,2025-12-21,5245962420,168.0,14,용산구동,일반,한강대우,1999,31,588,푸르지오,3,서울시,용산구
6232d23d-8bf4-426e-9fa4-cef905625e8e,2025-09-06,2150210878,84.0,17,송파구동,일반,파크리오,2008,17,6864,현대,3,서울시,송파구
f2696663-ae7b-46c7-a521-9d8df00adf8c,2025-05-24,3928518645,102.0,15,용산구동,일반,용산푸르지오써밋,2020,21,1140,푸르지오,3,서울시,용산구
38a2b599-eb59-4c13-9160-a5d9978661df,2025-08-27,2753400458,84.0,6,용산구동,일반,용산푸르지오써밋,2020,18,1140,푸르지오,3,서울시,용산구
f2c9835c-c4fe-49e7-9dcd-7419a29937b1,2025-12-30,526901833,59.0,8,강서구동,법인,강서구아파트,2015,21,760,기타,1,서울시,강서구
89200e20-7db4-4d73-b127-b6ae59124fff,2026-02-03,1593005662,74.0,10,마포구동,일반,마포래미안푸르지오,2014,16,3885,래미안,4,서울시,마포구
23276ab0-a636-439c-a2c6-a189793e3df1,2026-01-07,972344488,114.0,24,노원구동,법인,노원구아파트,2014,35,1258,기타,1,서울시,노원구
db9b51e8-ff42-460c-b20c-880eec098b73,2024-02-20,1136521978,135.0,9,강서구동,일반,강서구아파트,2005,25,523,기타,1,서울시,강서구
0c646f0b-1813-4d92-98ce-8654c3f9b926,2025-05-19,5127269239,114.0,10,강남구동,일반,래미안퍼스티지,2009,32,1467,래미안,4,서울시,강남구
31273a82-ee25-4682-9b14-155f4c1966aa,2024-05-12,415125611,59.0,3,노원구동,법인,노원구아파트,2019,33,577,기타,1,서울시,노원구
4d9fa346-b7d2-4fa7-8d31-d922b201aa34,2025-07-31,2833802750,102.0,11,용산구동,일반,한강대우,1999,22,588,푸르지오,3,서울시,용산구
fc454f28-7da4-45e9-a9d9-81c5d006a277,2024-05-06,5264135809,114.0,17,강남구동,법인,대치아이파크,2008,27,780,현대산업개발,3,서울시,강남구
